Threshold , Precision , Recall , Accuracy ,Fmeasure
,,,,
1,0.1488,1,0.148796499,0.259047619
2,0.49565,0.838235294,0.849015317,0.62295082
3,0.75385,0.720588235,0.923413567,0.736842105
4,0.88571,0.455882353,0.910284464,0.601941748
5,0.96,0.352941176,0.901531729,0.516129032
6,1,0.308823529,0.897155361,0.471910112
7,1,0.176470588,0.877461707,0.3
8,1,0.132352941,0.870897155,0.233766234
9,1,0.102941176,0.866520788,0.186666667
10,1,0.073529412,0.86214442,0.136986301
11,1,0.044117647,0.857768053,0.084507042
12,1,0.044117647,0.857768053,0.084507042
13,1,0.029411765,0.855579869,0.057142857
14,1,0.029411765,0.855579869,0.057142857
15,1,0.029411765,0.855579869,0.057142857
